,escola,sexo,idade,endereco,tamanho familia,status pais,educ. mae,educ. pai,emprego mae,emprego pai,motivo escola,responsavel,tempo viagem,tempo estudo,reprovacoes,suporte escola,suporte familia,aulas pagas,atividades extra,frequentou creche,quer ensino superior,internet em casa,relacionamento,relacao familiar,tempo livre,sair com amigos,alcool dia util,alcool fim semana,saude,faltas,nota periodo 1,nota periodo 2,nota final
0,gabriel pereira,feminino,18,urbano,>3 pessoas,separados,superior,superior,do lar,professor(a),curso,mae,15 a 30 min,2 a 5h,nenhuma,sim,nao,nao,nao,sim,sim,nao,nao,boa,medio,bastante,muito baixo,muito baixo,regular,6,5,6,6
1,gabriel pereira,feminino,17,urbano,>3 pessoas,juntos,fund. i,fund. i,do lar,outro,curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,nao,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,regular,4,5,5,6
2,gabriel pereira,feminino,15,urbano,<=3 pessoas,juntos,fund. i,fund. i,do lar,outro,outro,mae,menos de 15 min,2 a 5h,3 ou mais,sim,nao,sim,nao,sim,sim,sim,nao,boa,medio,pouco,baixo,medio,regular,10,7,8,10
3,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,fund. ii,saude,servicos,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,regular,pouco,pouco,muito baixo,muito baixo,muito boa,2,15,14,15
4,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,nao,nao,boa,medio,pouco,muito baixo,baixo,muito boa,4,6,10,10
5,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,ensino medio,servicos,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,bastante,pouco,muito baixo,baixo,muito boa,10,15,15,15
6,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,muito baixo,regular,0,12,12,11
7,gabriel pereira,feminino,17,urbano,>3 pessoas,separados,superior,superior,outro,professor(a),proximidade,mae,15 a 30 min,2 a 5h,nenhuma,sim,sim,nao,nao,sim,sim,nao,nao,boa,muito pouco,bastante,muito baixo,muito baixo,muito ruim,6,6,5,6
8,gabriel pereira,masculino,15,urbano,<=3 pessoas,separados,ensino medio,fund. ii,servicos,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,pouco,pouco,muito baixo,muito baixo,muito ruim,0,16,18,19
9,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,ensino medio,superior,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,muito,muito pouco,muito baixo,muito baixo,muito boa,0,14,15,15
10,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,professor(a),saude,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,regular,medio,medio,muito baixo,baixo,ruim,0,10,8,9
11,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. ii,fund. i,servicos,outro,reputacao,pai,30 min a 1h,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,pouco,pouco,muito baixo,muito baixo,boa,4,10,12,12
12,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,superior,superior,saude,servicos,curso,pai,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,medio,medio,muito baixo,medio,muito boa,2,14,14,14
13,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,curso,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,excelente,bastante,medio,muito baixo,baixo,regular,2,10,10,11
14,gabriel pereira,masculino,15,urbano,>3 pessoas,separados,fund. ii,fund. ii,outro,outro,proximidade,outro,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,nao,sim,sim,sim,sim,boa,muito,pouco,muito baixo,muito baixo,regular,0,14,16,16
15,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,saude,outro,proximidade,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,nao,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,baixo,ruim,4,14,14,14
16,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,reputacao,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,regular,pouco,medio,muito baixo,baixo,ruim,6,13,14,14
17,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,reputacao,mae,30 min a 1h,2 a 5h,nenhuma,sim,sim,nao,sim,sim,sim,nao,nao,excelente,medio,pouco,muito baixo,muito baixo,boa,4,8,10,10
18,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,ensino medio,fund. ii,servicos,servicos,curso,mae,menos de 15 min,menos de 2h,3 ou mais,nao,sim,nao,sim,sim,sim,sim,nao,excelente,muito,muito,baixo,alto,muito boa,16,6,5,5
19,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,ensino medio,saude,outro,proximidade,pai,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,regular,muito pouco,medio,muito baixo,medio,muito boa,4,8,10,10
20,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,boa,bastante,muito pouco,muito baixo,muito baixo,muito ruim,0,13,14,15
21,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,saude,saude,outro,pai,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,excelente,bastante,pouco,muito baixo,muito baixo,muito boa,0,12,15,15
22,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,fund. ii,professor(a),outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,boa,muito,muito pouco,muito baixo,medio,muito boa,2,15,15,16
23,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,bastante,bastante,baixo,alto,muito boa,0,13,13,12
24,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,fund. ii,superior,servicos,saude,curso,mae,menos de 15 min,5 a 10h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,2,10,9,8
